item_id,title,category,status,planned_doc,result_doc,checkpoint_or_catalog_path,last_updated_at,notes
"phase1_probe_suites","Phase-1 clean/iid/v4-lite probe suites","flow_validation","flow_validation_only","docs/phase1_realistic_validation_plan.md","checkpoints/sweep_oc_phase1_probe_clean_20260423_180908/experiment_report.md; checkpoints/sweep_oc_phase1_probe_iid_20260423_180908/experiment_report.md; checkpoints/sweep_oc_phase1_probe_v4lite_20260423_180908/experiment_report.md","checkpoints/sweep_oc_phase1_probe_clean_20260423_180908/; checkpoints/sweep_oc_phase1_probe_iid_20260423_180908/; checkpoints/sweep_oc_phase1_probe_iideval_20260424_024232/; checkpoints/sweep_oc_phase1_probe_v4lite_20260423_180908/","2026-04-25 11:50:10 CST (+0800)","Probe results exist but are not formal Phase-1A matched decision evidence."
"phase1a_formal_five_seed","Phase-1A formal five-seed decision package","experiment_result","completed_decision_package","docs/phase1_realistic_validation_plan.md; docs/phnode_realistic_validation_execution_plan.md","docs/phase1a_oc_v4lite_cleanrun_v1_report.md; docs/section8_evidence_merge_plan.md; paper/README.md","notebook/phase1a_oc_v4lite_formal_workflow_completed.ipynb; notebook/t2_wpfrag_*_completed.ipynb; analysis/section8_current_evidence/","2026-07-25 CST (+0800)","Completed as the cleanrun-v1 plus t2_wpfrag decision package: four structured models across clean/iid/v4lite and seeds 42-46, with clean-only Path B blackbox anchors. Current exports contain 375 per-seed rows and 75 aggregate rows. Phase-1A suites remain excluded from the canonical OC catalog by design."
"phase1b_conditional_extension","Phase-1B conditional model/profile extension","planned_experiment","closed_not_triggered","docs/phase1_realistic_validation_plan.md; docs/phnode_realistic_validation_execution_plan.md","docs/phase1a_oc_v4lite_cleanrun_v1_report.md; EXPERIMENT_PROGRESS_TRACKER.md","analysis/section8_current_evidence/aggregate.csv","2026-07-25 CST (+0800)","Closed without execution. Phase-1A did not justify a full factorial extension: the stable main models showed near-equivalent iid/v4-lite behavior and unchanged tier ordering, while the two exceptions are already disclosed. Heading/degraded evaluation and clean-only blackbox anchors are covered; blackbox iid/v4lite runs are intentionally not added."
"p2_mass_lift_mechanism","P2-1 mass prior and lift mechanism study","planned_experiment","not_started","docs/oc_followup_experiment_plan.md","","","2026-04-25 11:50:10 CST (+0800)","Requires 2x2 combination including ablate_no_mass_prior_no_lift, which is not currently a formal completed result."
"p2_noisy_schedule_scan","P2-2 phnode_full noisy schedule scan","planned_experiment","not_started","docs/oc_followup_experiment_plan.md","","","2026-04-25 11:50:10 CST (+0800)","Planned for phnode_full seeds 42 and 46 with default, conservative, and aggressive schedules."
"p3_remus100_ins_extension","P3 OC remus100_ins extension line","planned_experiment","not_started","docs/oc_followup_experiment_plan.md; docs/noise_experiment_runbook.md","","","2026-04-25 11:50:10 CST (+0800)","Would evaluate enhanced INS/current-estimation assumptions and current_bias_eval."
"p3_noc_control","P3 NOC robustness control line","planned_experiment","not_started","docs/oc_followup_experiment_plan.md; docs/noise_experiment_runbook.md","","","2026-04-25 11:50:10 CST (+0800)","Would test whether OC noisy-robustness trends depend on current-state coupling."
"current_unobservable_extension","current-unobservable extension","future_work","design_only","docs/noise_design_revision_filtered_state_robustness.md","","","2026-04-25 11:50:10 CST (+0800)","Reserved for weaker real-deployment interface assumptions. Not a current mainline result."
"receding_horizon_benchmark","Receding-horizon benchmark","future_work","design_only","docs/noise_design_revision_filtered_state_robustness.md; docs/noise_design_v4_dr_ekf_output.md","","","2026-04-25 11:50:10 CST (+0800)","Conceptually planned but not implemented as a formal benchmark result."
"real_log_replay","Offline real-log replay","future_work","future","docs/phnode_realistic_validation_plan.md; docs/phnode_realistic_validation_execution_plan.md","","","2026-04-25 11:50:10 CST (+0800)","Requires clear Phase-1/Level-B results and available real AUV logs."
"v4_b1_history_model","v4-B1 history-aware clean block prediction","future_work","design_only","docs/v4_b1_implementation_checklist.md; docs/noise_design_v4_dr_ekf_output.md","","","2026-04-25 11:50:10 CST (+0800)","Implementation checklist exists but no formal history-aware model result is recorded."
"provenance_audit_phnode_full_clean","Provenance audit of catalog phnode_full clean seed42/46 fragility","investigation","reported","analysis/provenance_audit/PLAN.md","docs/provenance_audit_phnode_full_clean.md; analysis/provenance_audit/phase1_static/diff_matrix.md; analysis/provenance_audit/phase2_aggregation/aggregation_diff.md; analysis/provenance_audit/phase3_retrain/findings.md; analysis/provenance_audit/phase3_retrain/code_fix_search.md","analysis/provenance_audit/phase3_retrain/audit_phase3_seed46_clean_20260512_095957/","2026-05-13 CST (+0800)","Four-phase provenance audit on branch provenance-audit-phnode_full (HEAD 7643dc9). Concludes that catalog-era phnode_full clean seed42/46 fragility was a cuDNN-coupled training divergence in catalog cloud mirror (auvhamnode/g3_5_5), not a model or git-code bug. Phase 3 audit on current main reproduces cleanrun v1 C46 bit-identically (60s clean pos_err_median = 0.4558 m). Catalog needs code_revision and environment fields to prevent recurrence."
